
==========
== CUDA ==
==========

CUDA Version 12.1.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

Using device: cuda
Starting TRADES Adversarial Training (resnet50)...
Epoch [1/100] Loss: nan | Clean Acc: 10.69%
Epoch [2/100] Loss: nan | Clean Acc: 10.69%
Epoch [3/100] Loss: nan | Clean Acc: 10.69%
Epoch [4/100] Loss: nan | Clean Acc: 10.69%
Epoch [5/100] Loss: nan | Clean Acc: 10.69%
Epoch [6/100] Loss: nan | Clean Acc: 10.69%
Epoch [7/100] Loss: nan | Clean Acc: 10.69%
Epoch [8/100] Loss: nan | Clean Acc: 10.69%
Epoch [9/100] Loss: nan | Clean Acc: 10.69%
Epoch [10/100] Loss: nan | Clean Acc: 10.69%
Epoch [11/100] Loss: nan | Clean Acc: 10.69%
Epoch [12/100] Loss: nan | Clean Acc: 10.69%
Epoch [13/100] Loss: nan | Clean Acc: 10.69%
Epoch [14/100] Loss: nan | Clean Acc: 10.69%
Epoch [15/100] Loss: nan | Clean Acc: 10.69%
Epoch [16/100] Loss: nan | Clean Acc: 10.69%
Epoch [17/100] Loss: nan | Clean Acc: 10.69%
Epoch [18/100] Loss: nan | Clean Acc: 10.69%
Epoch [19/100] Loss: nan | Clean Acc: 10.69%
Epoch [20/100] Loss: nan | Clean Acc: 10.69%
Val Clean Acc: 11.88%
Epoch [21/100] Loss: nan | Clean Acc: 10.69%
Epoch [22/100] Loss: nan | Clean Acc: 10.69%
Epoch [23/100] Loss: nan | Clean Acc: 10.69%
Epoch [24/100] Loss: nan | Clean Acc: 10.69%
Epoch [25/100] Loss: nan | Clean Acc: 10.69%
Epoch [26/100] Loss: nan | Clean Acc: 10.69%
Epoch [27/100] Loss: nan | Clean Acc: 10.69%
Epoch [28/100] Loss: nan | Clean Acc: 10.69%
Epoch [29/100] Loss: nan | Clean Acc: 10.69%
Epoch [30/100] Loss: nan | Clean Acc: 10.69%
Epoch [31/100] Loss: nan | Clean Acc: 10.69%
Epoch [32/100] Loss: nan | Clean Acc: 10.69%
Epoch [33/100] Loss: nan | Clean Acc: 10.69%
Epoch [34/100] Loss: nan | Clean Acc: 10.69%
Epoch [35/100] Loss: nan | Clean Acc: 10.69%
Epoch [36/100] Loss: nan | Clean Acc: 10.69%
Epoch [37/100] Loss: nan | Clean Acc: 10.69%
Epoch [38/100] Loss: nan | Clean Acc: 10.69%
Epoch [39/100] Loss: nan | Clean Acc: 10.69%
Epoch [40/100] Loss: nan | Clean Acc: 10.69%
Val Clean Acc: 11.88%
Epoch [41/100] Loss: nan | Clean Acc: 10.69%
Epoch [42/100] Loss: nan | Clean Acc: 10.69%
Epoch [43/100] Loss: nan | Clean Acc: 10.69%
Epoch [44/100] Loss: nan | Clean Acc: 10.69%
Epoch [45/100] Loss: nan | Clean Acc: 10.69%
Epoch [46/100] Loss: nan | Clean Acc: 10.69%
Epoch [47/100] Loss: nan | Clean Acc: 10.69%
Epoch [48/100] Loss: nan | Clean Acc: 10.69%
Epoch [49/100] Loss: nan | Clean Acc: 10.69%
Epoch [50/100] Loss: nan | Clean Acc: 10.69%
Epoch [51/100] Loss: nan | Clean Acc: 10.69%
Epoch [52/100] Loss: nan | Clean Acc: 10.69%
Epoch [53/100] Loss: nan | Clean Acc: 10.69%
Epoch [54/100] Loss: nan | Clean Acc: 10.69%
Epoch [55/100] Loss: nan | Clean Acc: 10.69%
Epoch [56/100] Loss: nan | Clean Acc: 10.69%
Epoch [57/100] Loss: nan | Clean Acc: 10.69%
Epoch [58/100] Loss: nan | Clean Acc: 10.69%
Epoch [59/100] Loss: nan | Clean Acc: 10.69%
Epoch [60/100] Loss: nan | Clean Acc: 10.69%
Val Clean Acc: 11.88%
Epoch [61/100] Loss: nan | Clean Acc: 10.69%
Epoch [62/100] Loss: nan | Clean Acc: 10.69%
Epoch [63/100] Loss: nan | Clean Acc: 10.69%
Epoch [64/100] Loss: nan | Clean Acc: 10.69%
Epoch [65/100] Loss: nan | Clean Acc: 10.69%
Epoch [66/100] Loss: nan | Clean Acc: 10.69%
Epoch [67/100] Loss: nan | Clean Acc: 10.69%
Epoch [68/100] Loss: nan | Clean Acc: 10.69%
Epoch [69/100] Loss: nan | Clean Acc: 10.69%
Epoch [70/100] Loss: nan | Clean Acc: 10.69%
Epoch [71/100] Loss: nan | Clean Acc: 10.69%
Epoch [72/100] Loss: nan | Clean Acc: 10.69%
Epoch [73/100] Loss: nan | Clean Acc: 10.69%
Epoch [74/100] Loss: nan | Clean Acc: 10.69%
Epoch [75/100] Loss: nan | Clean Acc: 10.69%
Epoch [76/100] Loss: nan | Clean Acc: 10.69%
Epoch [77/100] Loss: nan | Clean Acc: 10.69%
Epoch [78/100] Loss: nan | Clean Acc: 10.69%
Epoch [79/100] Loss: nan | Clean Acc: 10.69%
Epoch [80/100] Loss: nan | Clean Acc: 10.69%
Val Clean Acc: 11.88%
Epoch [81/100] Loss: nan | Clean Acc: 10.69%
Epoch [82/100] Loss: nan | Clean Acc: 10.69%
Epoch [83/100] Loss: nan | Clean Acc: 10.69%
Epoch [84/100] Loss: nan | Clean Acc: 10.69%
Epoch [85/100] Loss: nan | Clean Acc: 10.69%
Epoch [86/100] Loss: nan | Clean Acc: 10.69%
Epoch [87/100] Loss: nan | Clean Acc: 10.69%
Epoch [88/100] Loss: nan | Clean Acc: 10.69%
Epoch [89/100] Loss: nan | Clean Acc: 10.69%
Epoch [90/100] Loss: nan | Clean Acc: 10.69%
Epoch [91/100] Loss: nan | Clean Acc: 10.69%
Epoch [92/100] Loss: nan | Clean Acc: 10.69%
Epoch [93/100] Loss: nan | Clean Acc: 10.69%
Epoch [94/100] Loss: nan | Clean Acc: 10.69%
Epoch [95/100] Loss: nan | Clean Acc: 10.69%
Epoch [96/100] Loss: nan | Clean Acc: 10.69%
Epoch [97/100] Loss: nan | Clean Acc: 10.69%
Epoch [98/100] Loss: nan | Clean Acc: 10.69%
Epoch [99/100] Loss: nan | Clean Acc: 10.69%
Epoch [100/100] Loss: nan | Clean Acc: 10.69%
Val Clean Acc: 11.88%
✅ Training completed! Model saved as model.pt (resnet50 + TRADES)
